qseqid,sgi,sacc,pident,length,bitscore,evalue,query
Query_1,931356537,KPJ49006,69.775,311,463,1.36e-157,hu-genome35ass_00010
Query_1,1278505448,PJA26880,68.71,310,462,6.91e-157,hu-genome35ass_00010
Query_1,1082980519,OGC85025,70.096,311,462,8.58e-157,hu-genome35ass_00010
Query_1,1404731416,PZN89599,71.795,312,448,4.45e-155,hu-genome35ass_00010
Query_1,931523988,KPL01371,71.383,311,446,7.71e-154,hu-genome35ass_00010
Query_1,503606019,WP_013840095,72.204,313,452,2.85e-153,hu-genome35ass_00010
Query_1,1176140351,OQX59068,70.874,309,441,2.29e-152,hu-genome35ass_00010
Query_1,1225688396,WP_093690320,72.168,309,448,1.23e-151,hu-genome35ass_00010
Query_1,973095470,KUK54884,97.101,138,263,8.49e-81,hu-genome35ass_00322
Query_1,1111736769,OJJ23220,60.274,146,160,1.12e-42,hu-genome35ass_00322
Query_1,1404690509,PZN52322,55.97,134,144,3.72e-41,hu-genome35ass_00322
Query_1,1232717248,OYZ45677,55.396,139,147,2.19e-40,hu-genome35ass_00322
Query_1,980203404,CUS86207,56.391,133,143,3.16e-40,hu-genome35ass_00322
Query_1,488789326,WP_002701733,62.698,126,152,3.5e-40,hu-genome35ass_00322
Query_1,1219365481,WP_089380785,57.353,136,152,3.69e-40,hu-genome35ass_00322
Query_1,1299997428,WP_100803940,55.245,143,152,3.84e-40,hu-genome35ass_00322
Query_1,1274385969,WP_099572932,55.862,145,152,4.43e-40,hu-genome35ass_00322
Query_1,1200432085,OUV48587,54.861,144,146,5.91e-40,hu-genome35ass_00322
Query_1,973094058,KUK53584,94.518,456,872,0,hu-genome36ass_00417
Query_1,973094199,KUK53716,92.105,456,853,0,hu-genome36ass_00417
Query_1,1119991890,WP_072867465,73.684,456,704,0,hu-genome36ass_00417
Query_1,1109921847,SHI66942,73.684,456,703,0,hu-genome36ass_00417
Query_1,333820993,AEG13656,73.246,456,701,0,hu-genome36ass_00417
Query_1,1347778304,WP_104371040,74.342,456,699,0,hu-genome36ass_00417
Query_1,654099185,WP_027717084,72.368,456,690,0,hu-genome36ass_00417
Query_1,669259995,KFD41838,73.246,456,684,0,hu-genome36ass_00417
Query_1,1109795482,SHF48371,73.026,456,683,0,hu-genome36ass_00417
Query_1,1034283209,OAT79896,71.272,456,683,0,hu-genome36ass_00417
Query_1,973089854,KUK49827,91.892,259,481,1.94e-165,hu-genome38ass_00021
Query_1,931382404,KPJ72601,74.517,259,414,4.61e-139,hu-genome38ass_00021
Query_1,1088050428,OGZ19312,74.33,261,405,8.53e-136,hu-genome38ass_00021
Query_1,1276902402,PIP23090,72.093,258,403,9.44e-135,hu-genome38ass_00021
Query_1,1277832446,PIU44117,71.705,258,401,5.02e-134,hu-genome38ass_00021
Query_1,1088048955,OGZ18065,75.769,260,400,5.03e-134,hu-genome38ass_00021
Query_1,1101086248,OIO46168,72.093,258,395,4.38e-132,hu-genome38ass_00021
Query_1,1278114581,PIW91393,75.102,245,389,2.41e-129,hu-genome38ass_00021
Query_1,1277947702,PIV45747,74.517,259,385,1.17e-127,hu-genome38ass_00021
Query_1,1277098174,PIR02781,74.517,259,385,1.31e-127,hu-genome38ass_00021
Query_1,973089993,KUK49946,89.565,115,201,3.63e-58,hu-genome38ass_00178
Query_1,973089993,KUK49946,28.704,108,45.8,0.004,hu-genome38ass_00178
Query_1,1088048283,OGZ17478,64.762,105,135,2.35e-34,hu-genome38ass_00178
Query_1,1088206592,OHA65137,55.932,118,129,2.36e-32,hu-genome38ass_00178
Query_1,931383613,KPJ73728,59.434,106,127,1.23e-31,hu-genome38ass_00178
Query_1,931383613,KPJ73728,34.314,102,57,5.13e-07,hu-genome38ass_00178
Query_1,931383613,KPJ73728,25.688,109,39.7,0.64,hu-genome38ass_00178
Query_1,1279228159,PJE69585,58.12,117,125,3.84e-31,hu-genome38ass_00178
Query_1,1278114402,PIW91240,60.577,104,125,4.58e-31,hu-genome38ass_00178
Query_1,1277971680,PIV65315,60.577,104,125,4.63e-31,hu-genome38ass_00178
Query_1,931365549,KPJ57156,59.091,110,125,5.08e-31,hu-genome38ass_00178
Query_1,1278461431,PIZ87615,60,105,125,6.76e-31,hu-genome38ass_00178
Query_1,1278461431,PIZ87615,27.358,106,40.4,0.33,hu-genome38ass_00178
Query_1,1277944735,PIV43064,60,105,125,7.02e-31,hu-genome38ass_00178
Query_1,1277944735,PIV43064,27.358,106,40.4,0.33,hu-genome38ass_00178
